Marque,Modèle,Prix (€),Année,Boîte,KM,Énergie,Code Postal,Département
Toyota,AURIS TOURING SPORTS HSD 136H DYNAMIC BUSINESS,,11/2016,"Couleur extérieure: Argenté, Nombre de portes: 4/5",100 kW (136 Ch DIN),"Break, Hybride (essence/électricité), Boîte automatique",,
Audi,"A3 1,0 TFSI 110",,12/2022,"Couleur extérieure: Argenté, Nombre de portes: 4/5",81 kW (110 Ch DIN),"Berline, Essence, Boîte manuelle",,
Skoda,"Superb Lim. Ambition 2,0tdi 150ps DSG Navi",,03/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",110 kW (150 Ch DIN),"Berline, Diesel, Boîte automatique",,
Renault,Grand Scenic ENERGY TCe 140 Bose Edition,,12/2018,Nombre de portes: 4/5,103 kW (140 Ch DIN),"Monospace / Ludospace, Essence, Boîte manuelle",,
Citroën,C4 Cactus BlueHDi 100 S&S Shine Busines 1st HAND,,02/2019,"Couleur extérieure: Gris, Nombre de portes: 4/5",75 kW (102 Ch DIN),"Berline, Diesel, Boîte manuelle",,
BMW,216 Gran Tourer  DIESEL,,08/2017,"Couleur extérieure: Gris, Nombre de portes: 4/5",85 kW (116 Ch DIN),"Monospace / Ludospace, Diesel, Boîte automatique",,
Peugeot,"508 SW Allure GT LINE 2,0hdi 163ps automatik",,09/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",120 kW (163 Ch DIN),"Break, Diesel, Boîte automatique",,
Skoda,"Superb Lim. Ambition 2,0tdi DSG FACE LIFT",,11/2020,"Couleur extérieure: Blanc, Nombre de portes: 4/5",90 kW (122 Ch DIN),"Berline, Diesel, Boîte automatique",,
Volkswagen,T5 Transporter Kasten-Kombi Kombi-Mittelhochdach,,08/2024,"Couleur extérieure: Gris, Nombre de portes: 4/5",96 kW (131 Ch DIN),"Monospace / Ludospace, Diesel, Boîte manuelle",,
Mercedes-Benz,C 200 BlueTEC EXCLUSIVE,,04/2016,Nombre de portes: 4/5,100 kW (136 Ch DIN),"Berline, Diesel, Boîte manuelle",,
Volkswagen,Golf Sportsvan VII Allstar BMT/Start-Stopp,,06/2016,"Couleur extérieure: Gris, Nombre de portes: 4/5",110 kW (150 Ch DIN),"Berline, Diesel, Boîte manuelle",,
Peugeot,Partner Tepee STYLE 1.6 BLUEHDI 100,,03/2018,"Couleur extérieure: Gris, Nombre de portes: 4/5",73 kW (99 Ch DIN),"Berline, Diesel, Boîte manuelle",,
Mitsubishi,OUTLANDER PHEV TWIN MOTOR BUSINESS 4WD,,01/2019,"Couleur extérieure: Gris, Nombre de portes: 4/5",165 kW (224 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Volkswagen,T5 Transporter Bus Caravelle Comfortline lang,,06/2009,"Couleur extérieure: Argenté, Nombre de portes: 4/5",96 kW (131 Ch DIN),"Monospace / Ludospace, Diesel, Boîte manuelle",,
Mercedes-Benz,C 220 C -Klasse 9G AMG LINE,,06/2017,"Couleur extérieure: Noir, Nombre de portes: 4/5",125 kW (170 Ch DIN),"Break, Diesel, Boîte automatique",,
Skoda,"Kamiq Style 1,6tdi NAVI CAMÉRA XÉNON FULL",,02/2020,"Couleur extérieure: Blanc, Nombre de portes: 4/5",85 kW (116 Ch DIN),"Citadine, Diesel, Boîte manuelle",,
Citroën,JUMPY SPACETOURER XL BLUEHDI 115CH FEEL S&S,,06/2018,"Couleur extérieure: Gris, Nombre de portes: 4/5",88 kW (120 Ch DIN),"Monospace / Ludospace, Diesel, Boîte manuelle",,
Volvo,V60 Kombi Momentum R-Design /18/FIRST HAND,,01/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",88 kW (120 Ch DIN),"Break, Diesel, Boîte automatique",,
Mercedes-Benz,E 220 E -Klasse Lim. AMG LINE 9G,,09/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",143 kW (194 Ch DIN),"Berline, Diesel, Boîte automatique",,
BMW,X3 Baureihe X3 xDrive 35 d M Sport 313PS,,04/2017,"Couleur extérieure: Noir, Nombre de portes: 4/5",230 kW (313 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Mercedes-Benz,C 220 C -Klasse T-Modell C 220 T d AMG LINE,,12/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",143 kW (194 Ch DIN),"Break, Diesel, Boîte automatique",,
Mercedes-Benz,C 200d  C -Klasse Lim. 9G Kamera 360,,03/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",118 kW (160 Ch DIN),"Berline, Diesel, Boîte automatique",,
Audi,Q5 2.0 TDI quattro,,09/2014,Nombre de portes: 4/5,130 kW (177 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte manuelle",,
Fiat,Ducato Kasten 30 130 L2H1 RS: 3450 mm,,04/2016,"Couleur extérieure: Blanc, Nombre de portes: 4/5",96 kW (131 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte manuelle",,
Peugeot,208 1.2L 136 GT LINE AUTOSCHULE,,12/2020,"Couleur extérieure: Gris, Nombre de portes: 4/5",96 kW (131 Ch DIN),"Berline, Essence, Boîte automatique",,
Peugeot,172 M,,01/1927,"Couleur extérieure: Rouge, Nombre de portes: 2/3",,"Autre, Essence, Boîte manuelle",,
Peugeot,e208 136/GT-Line Toit Panoramique 1er Main,,09/2020,"Couleur extérieure: Gris, Nombre de portes: 4/5",100 kW (136 Ch DIN),"Citadine, Electrique, Boîte automatique",,
BMW,X3 xDrive 30 d LUXE 30D,,11/2011,"Couleur extérieure: Blanc, Nombre de portes: 4/5",190 kW (258 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Dodge,RAM 1500 Ecodiesel LARAMIE LONG HORN,,03/2015,Couleur extérieure: Blanc,184 kW (250 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Audi,100 S4,,01/1994,Couleur extérieure: Noir,,"Berline, Essence",,
Mercedes-Benz,E 200 D 150CH EXECUTIVE 9G-TRONIC,,12/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",110 kW (150 Ch DIN),"Berline, Diesel, Boîte automatique",,
Mercedes-Benz,500 SEL,,10/1983,,170 kW (231 Ch DIN),"Autre, Essence",,
Skoda,Kamiq Ambition,,02/2022,"Couleur extérieure: Gris, Nombre de portes: 4/5",81 kW (110 Ch DIN),"Break, Essence, Boîte automatique",,
Audi,Q7 3.0 TDI Q  AVUS/ VOLL /Ahk/ 20'/ pano / led,,07/2010,"Couleur extérieure: Noir, Nombre de portes: 4/5",176 kW (239 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Peugeot,3008 Active Business,,06/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",96 kW (131 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Lexus,IS 300H BUSINESS,,02/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",164 kW (223 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Skoda,Kamiq Ambition,,12/2022,"Couleur extérieure: Noir, Nombre de portes: 4/5",81 kW (110 Ch DIN),"Break, Essence, Boîte automatique",,
Mercedes-Benz,E220 D 194CH EXECUTIVE 9G-TRONIC,,03/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",143 kW (194 Ch DIN),"Berline, Diesel, Boîte automatique",,
Mercedes-Benz,C 300 2.0 CDi BlueTec 195 AMG Line / GA255,,06/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",143 kW (194 Ch DIN),"Break, Hybride (diesel/électrique), Boîte automatique",,
Porsche,924 TURBO,,07/1980,Couleur extérieure: Vert,,"Break, Essence, Boîte manuelle",,
Mercedes-Benz,E 200 D 150CH BUSINESS EXECUTIVE 9G-TRONIC,,07/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",110 kW (150 Ch DIN),"Berline, Diesel, Boîte automatique",,
BMW,530 d xDrive M Sport Lim.,,05/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",195 kW (265 Ch DIN),"Berline, Diesel, Boîte automatique",,
Jeep,WRANGLER 2.5 118 Véhicule d'Origine Française,,04/1998,"Couleur extérieure: Rouge, Nombre de portes: 2/3",87 kW (118 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte manuelle",,
Peugeot,3008 GT,,07/2022,"Couleur extérieure: Bleu, Nombre de portes: 4/5",96 kW (131 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Mercedes-Benz,E 220 D 194CH 9G-TRON panorama+burmester+widescr,,03/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",143 kW (194 Ch DIN),"Berline, Diesel, Boîte automatique",,
Jaguar,E-Pace R-Dynamic AWD*Jaguar Service*Heated Seats,,11/2018,"Couleur extérieure: Gris, Nombre de portes: 4/5",110 kW (150 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Renault,Captur II TCE 140 Intens,,03/2022,"Couleur extérieure: Gris, Nombre de portes: 4/5",103 kW (140 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Volkswagen,Arteon Shooting Brake R-Line 150ps PANORAMA FULL,,02/2021,"Couleur extérieure: Gris, Nombre de portes: 4/5",110 kW (150 Ch DIN),"Break, Diesel, Boîte automatique",,
Skoda,"Kodiaq Sportline 2,0tdi 150ps DSG 7 PLATZ",,06/2022,"Couleur extérieure: Gris, Nombre de portes: 4/5",110 kW (150 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Honda,CR-V 2.0 I-MMD 184CH EXECUTIVE 2WD AT,,01/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",135 kW (184 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Mercedes-Benz,E 350 D 286CH AVANTGARDE LINE 9G-TRONIC,,03/2019,"Couleur extérieure: Argenté, Nombre de portes: 4/5",210 kW (286 Ch DIN),"Berline, Diesel, Boîte automatique",,
Lexus,IS 300H BUSINESS,,02/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",164 kW (223 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Toyota,CAMERY 2.5 HYBRIDE 218CH DYNAMIC,,08/2020,"Couleur extérieure: Noir, Nombre de portes: 4/5",160 kW (218 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Mercedes-Benz,E 220 D 194CH AMG LINE 9G panorama + widscreen,,02/2020,"Couleur extérieure: Noir, Nombre de portes: 4/5",143 kW (194 Ch DIN),"Berline, Diesel, Boîte automatique",,
MINI,COOPER  60 Years (F55) 1.5i 136 BVA,,09/2019,"Couleur extérieure: Gris, Nombre de portes: 4/5",100 kW (136 Ch DIN),"Citadine, Essence, Boîte automatique",,
Mercedes-Benz,S 500 S -Klasse Lim. S 500 Plug-in Hybrid / e L,,04/2016,"Couleur extérieure: Noir, Nombre de portes: 4/5",245 kW (333 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Toyota,CAMERY 2.5 HYBRIDE 218CH LOUNGE,,05/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",160 kW (218 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Toyota,Hilux Extra Cab Comfort 4x4,,08/2020,"Couleur extérieure: Blanc, Nombre de portes: 4/5",110 kW (150 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte manuelle",,
DS,Automobiles DS9 HYBRIDE E-TENSE 4X4 PERFORMANCE LINE +,,10/2021,"Couleur extérieure: Bleu, Nombre de portes: 4/5",147 kW (200 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Porsche,Cayenne Turbo,,10/2007,"Couleur extérieure: Noir, Nombre de portes: 4/5",427 kW (581 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, BioEthanol, Boîte automatique",,
Mercedes-Benz,SE,,06/1969,Couleur extérieure: Or,,"Berline, Essence, Boîte automatique",,
Opel,Speedster 2.2 Youngtimer Very Good Condition,,01/2001,"Couleur extérieure: Gris, Nombre de portes: 2/3",108 kW (147 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
MINI,Cooper S*Pano*HK*Matrix*HUD*CarPlay*Leather,,06/2021,"Couleur extérieure: Bleu, Nombre de portes: 2/3",131 kW (178 Ch DIN),"Citadine, Essence, Boîte automatique",,
Mercedes-Benz,S 350 S -Klasse Lim. S 350 d Lang Version 9G,,03/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",210 kW (286 Ch DIN),"Berline, Diesel, Boîte automatique",,
Ford,Mustang,,04/2013,"Couleur extérieure: Bleu, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
