Marque,Modèle,Prix (€),Année,Boîte,KM,Énergie,Code Postal,Département
Mitsubishi,ARMORED/GEPANZERT/BLINDE/BLINDATO/VR7,,05/2006,"Couleur extérieure: Gris, Nombre de portes: 4/5",118 kW (160 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte manuelle",,
Maserati,Spyder 4.2 Gransport,,06/2006,Nombre de portes: 2/3,295 kW (401 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Mercedes-Benz,G 400 CDI Station Wagon,,10/2004,"Couleur extérieure: Noir, Nombre de portes: 2/3",184 kW (250 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Land,Rover Range Rover Evoque R-Dynamic HSE Hybrid,,12/2021,"Couleur extérieure: Gris, Nombre de portes: 4/5",147 kW (200 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité)",,
Land,Rover Range Rover Evoque R-Dynamic SE Hybrid,,01/2022,"Couleur extérieure: Gris, Nombre de portes: 4/5",147 kW (200 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Mercedes-Benz,C 63 AMG,,09/2016,Couleur extérieure: Gris,350 kW (476 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Land,Rover Range Rover Evoque R-Dynamic HSE Hybrid,,11/2020,"Couleur extérieure: Noir, Nombre de portes: 4/5",147 kW (200 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité)",,
Land,Rover Range Rover Evoque Autobiography Hybrid,,01/2022,"Couleur extérieure: Blanc, Nombre de portes: 4/5",118 kW (160 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité)",,
Mercedes-Benz,300 SE,,06/1963,"Couleur extérieure: Bleu, Nombre de portes: 2/3",118 kW (160 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Land,Rover Range Rover Autobiography*Full Land Rover Servic,,09/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",249 kW (339 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Porsche,Boxster 718 auto,,07/2018,"Couleur extérieure: Noir, Nombre de portes: 2/3",220 kW (299 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Jaguar,F-TYPE V6 S 3.0L 380 CV CABRIOLET BVA / KEYLESS,,04/2016,"Couleur extérieure: Gris, Nombre de portes: 2/3",280 kW (381 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Aston,Martin V8 Vantage 4.3l,,04/2008,"Couleur extérieure: Noir, Nombre de portes: 2/3",283 kW (385 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Jaguar,F-Type 3.0 L V6 S AWD Automatik,,05/2017,"Couleur extérieure: Blanc, Nombre de portes: 2/3",280 kW (381 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,CAYENNE GTS 3.6L V6 440 CV / ROUGE CARMIN / PSE,,08/2016,"Couleur extérieure: Rouge, Nombre de portes: 4/5",324 kW (441 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,997 Carrera Coupé,,01/2010,"Couleur extérieure: Rouge, Nombre de portes: 2/3",254 kW (345 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Land,Rover SDV8 Autobiography*Meridian*Sunroof*Carplay*360°,,01/2015,"Couleur extérieure: Noir, Nombre de portes: 4/5",250 kW (340 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Mercedes-Benz,500 sl r107,,11/1987,"Couleur extérieure: Argenté, Nombre de portes: 2/3",,"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,Macan,,10/2022,"Couleur extérieure: Noir, Nombre de portes: 4/5",195 kW (265 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,CAYENNE E-HYBRID 3.0L V6 462 CV / PANO / PSE,,02/2020,"Couleur extérieure: Bleu, Nombre de portes: 4/5",250 kW (340 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Land,Rover Range Rover Autobiography Hybrid,,06/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",221 kW (300 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,911 Carrera 4 S Cabrio,,05/2006,"Couleur extérieure: Noir, Nombre de portes: 2/3",261 kW (355 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,911 Urmodell,,09/1983,"Couleur extérieure: Rouge, Nombre de portes: 2/3",150 kW (204 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Mercedes-Benz,S 560 S -Klasse Lim. S 560 4Matic L,,07/2018,"Couleur extérieure: Bleu, Nombre de portes: 4/5",345 kW (469 Ch DIN),"Berline, Essence, Boîte automatique",,
Donkervoort,D8,,11/1997,"Couleur extérieure: Gris, Nombre de portes: 2/3",,"Cabriolet / Roadster, Essence, Boîte manuelle",,
Alfa,Romeo Giulia Spider 1750 Veloce,,06/1969,Couleur extérieure: Gris,87 kW (118 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Alpine,A110 Legende - Sport Exhaust - Gris Montebello,,12/2021,"Couleur extérieure: Gris, Nombre de portes: 2/3",185 kW (252 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,C 63 AMG Coupé Pack Performance - many options,,08/2011,"Couleur extérieure: Noir, Nombre de portes: 2/3",358 kW (487 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,Panamera Sport Turismo 4 E-Hybrid,,07/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",243 kW (330 Ch DIN),"Break, Hybride (essence/électricité), Boîte automatique",,
Porsche,Cayenne E-Hybrid*Pano*BOSE*PASM*Hitch,,11/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",250 kW (340 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,Cayenne E-Hybrid *Origin France*,,08/2018,"Couleur extérieure: Gris, Nombre de portes: 4/5",250 kW (340 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,Cayenne S 3.0 V6 440ch,,12/2017,"Couleur extérieure: Blanc, Nombre de portes: 4/5",324 kW (441 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
BMW,M2 COMPETITION 3.0L 410 CV DKG7 / MALUS PAYÉ,,03/2019,"Couleur extérieure: Bleu, Nombre de portes: 2/3",302 kW (411 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,ML 500  ARMOURED GEPANZERT SECURITY BLINDE AK47,,04/2006,"Couleur extérieure: Argenté, Nombre de portes: 4/5",225 kW (306 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Aston,Martin DB9 Volante 5.9,,01/2007,"Couleur extérieure: Noir, Nombre de portes: 2/3",336 kW (457 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,911 Carrera 4 S Cabrio,,01/2007,"Couleur extérieure: Gris, Nombre de portes: 2/3",261 kW (355 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Toyota,Supra MK5 3.0 340 * LIGNE AC SCHNITZER,,07/2020,"Couleur extérieure: Jaune, Nombre de portes: 2/3",250 kW (340 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,996 Turbo *French Owner / Manual*,,02/2002,"Couleur extérieure: Bleu, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Audi,RS6 RS 6 Avant 4.0 TFSI quattro,,03/2013,"Couleur extérieure: Rouge, Nombre de portes: 4/5",412 kW (560 Ch DIN),"Break, Essence, Boîte automatique",,
Porsche,993 Carrera 2 Cabriolet,,08/1996,"Couleur extérieure: Bleu, Nombre de portes: 2/3",210 kW (286 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,Panamera GTS Sport Turismo 4.0 V8 460 PS,,02/2019,"Couleur extérieure: Rouge, Nombre de portes: 4/5",338 kW (460 Ch DIN),"Break, Essence, Boîte automatique",,
Land,Rover Range Rover Sport P400e HSE Dynamic*Meridian*Pan,,12/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",297 kW (404 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
BMW,M2 Competition,,03/2019,"Couleur extérieure: Orange, Nombre de portes: 2/3",302 kW (411 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
BMW,E28 M535I,,07/1987,"Couleur extérieure: Gris, Nombre de portes: 4/5",218 kW (296 Ch DIN),"Berline, Essence, Boîte automatique",,
Porsche,997 Carrera 4 Coupé MY09,,06/2009,"Couleur extérieure: Noir, Nombre de portes: 2/3",254 kW (345 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,996 TURBO X50 3.6L 450 CV TIPTRONIC S / C05,,04/2002,Couleur extérieure: Gris,331 kW (450 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
BMW,i8 Baureihe i8 Coupe Basis,,02/2016,"Couleur extérieure: Bleu, Nombre de portes: 2/3",170 kW (231 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
Porsche,997.2 Carrera 4 Coupe,,10/2009,"Couleur extérieure: Bleu, Nombre de portes: 2/3",254 kW (345 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,911 997.1 Carrera S Coupé X51,,10/2005,"Couleur extérieure: Vert, Nombre de portes: 2/3",280 kW (381 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Mercedes-Benz,B6 ARMOURED/PANZERT/ARMORED/BLINDATO,,07/2007,Couleur extérieure: Noir,,"SUV / Off-road Vehicle / Pickup Truck, Autre, Boîte automatique",,
Mercedes-Benz,G 500 ARMOURED/PANZERT/ARMORED/BLINDATO,,07/2002,"Couleur extérieure: Noir, Nombre de portes: 4/5",218 kW (296 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Renault,Clio V6,,10/2003,"Couleur extérieure: Bleu, Nombre de portes: 2/3",187 kW (254 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Autres,DORETTI SWALLOW 2 -LITRE,,01/1955,Nombre de portes: 2/3,,"Cabriolet / Roadster, Essence, Boîte manuelle",,
Lotus,Exige 3.5 V6 S Roadster - Hard Top - Perfect,,06/2014,"Couleur extérieure: Noir, Nombre de portes: 2/3",258 kW (351 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,Panamera 4 E-Hybrid*PDLS+*BOSE*Ventilated Seats,,03/2018,"Couleur extérieure: Argenté, Nombre de portes: 4/5",340 kW (462 Ch DIN),"Break, Hybride (essence/électricité), Boîte automatique",,
Porsche,911 Carrera Manual gearbox *PSE/Sunroof*,,10/2013,"Couleur extérieure: Noir, Nombre de portes: 2/3",257 kW (349 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,Cayenne E-Hybrid Coupe *bose*innodrive*360°,,05/2020,"Couleur extérieure: Gris, Nombre de portes: 4/5",340 kW (462 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
BMW,1M 3.0 Bi-turbo 340 * ORIGINE FRANCE,,09/2011,"Couleur extérieure: Blanc, Nombre de portes: 2/3",250 kW (340 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,Macan 3.0 V6 360 CH GTS PDK,,11/2017,"Couleur extérieure: Gris, Nombre de portes: 4/5",265 kW (360 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte manuelle",,
Alfa,Romeo MONTREAL *100% origin*,,11/1974,"Couleur extérieure: Rouge, Nombre de portes: 2/3",147 kW (200 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,Panamera 4 E-Hybrid*Rear Streer.*BOSE*Exhaust,,06/2019,Nombre de portes: 4/5,340 kW (462 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
Aston,Martin V8 Vantage Roadster 4.3l,,06/2007,"Couleur extérieure: Noir, Nombre de portes: 2/3",283 kW (385 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,911 Carrera 4 S Coupe *Superb condition*,,06/2009,"Couleur extérieure: Argenté, Nombre de portes: 2/3",283 kW (385 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,Cayenne E-Hybrid*PDLS+*PCCB*ACC*HUD*360°*Burmest,,01/2020,"Couleur extérieure: Gris, Nombre de portes: 4/5",340 kW (462 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Land,Rover Range Rover 5.0 V8 SC SV Autobiography Dynamic,,08/2017,"Couleur extérieure: Gris, Nombre de portes: 4/5",405 kW (551 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Aston,Martin Virage Volante V8 5.3 Auto Cabriolet,,06/1995,"Couleur extérieure: Bleu, Nombre de portes: 2/3",228 kW (310 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,911 Carrera 3.2,,03/1984,"Couleur extérieure: Blanc, Nombre de portes: 2/3",170 kW (231 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Mercedes-Benz,A 45 AMG Mercedes-AMG A 45 S 4MATIC+ DCT,,02/2020,"Couleur extérieure: Gris, Nombre de portes: 4/5",310 kW (421 Ch DIN),"Berline, Essence, Boîte automatique",,
BMW,M850  Gran Coupe M850 i xDrive,,12/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",390 kW (530 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,997 Carrera 4S *Terracota interior*,,01/2009,"Couleur extérieure: Noir, Nombre de portes: 2/3",283 kW (385 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Mercedes-Benz,S 580 S -Klasse Lim. S 580 e LANG Hybride AMG,,10/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",270 kW (367 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Porsche,Cayenne III Coupe 3.0 V6 E-Hybrid 462,,04/2022,"Couleur extérieure: Gris, Nombre de portes: 4/5",340 kW (462 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Land,Rover Range Rover,,09/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",297 kW (404 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Autre, Boîte automatique",,
Porsche,Cayenne Coupe E-Hybrid*PDLS+BOSE*Heated seats,,12/2019,"Couleur extérieure: Blanc, Nombre de portes: 4/5",340 kW (462 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Mercedes-Benz,S Class 500 Cabrio*2nd Hand*Full Mercedes Servi.,,09/2017,"Couleur extérieure: Gris, Nombre de portes: 2/3",335 kW (455 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,"Cayenne Coupe E-Hybrid, great spec, many options",,12/2020,"Couleur extérieure: Gris, Nombre de portes: 4/5",340 kW (462 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Audi,TT RS*Collector*RS Exhaust*Matrix LED*B&O,,09/2021,"Couleur extérieure: Rouge, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bentley,Flying Spur 4.0 V8 Autom.,,01/2015,Nombre de portes: 4/5,373 kW (507 Ch DIN),"Berline, Essence, Boîte automatique",,
Porsche,964 CABRIOLET CARRERA 2,,04/1990,"Couleur extérieure: Noir, Nombre de portes: 2/3",184 kW (250 Ch DIN),"Cabriolet / Roadster, Essence",,
Audi,TTRS Roadster*B&O*Matrix*Sport Exhaust,,02/2020,"Couleur extérieure: Noir, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Maserati,Merak 2000 GT,,09/1978,Couleur extérieure: Gris,,"Break, Essence, Boîte manuelle",,
Mercedes-Benz,190E 3.2 AMG,,09/1992,Nombre de portes: 4/5,,"Berline, Boîte manuelle",,
ALPINA,D3 S,,,"Couleur extérieure: Noir, Nombre de portes: 4/5",261 kW (355 Ch DIN),"Break, Diesel, Boîte automatique",,
Porsche,Macan GTS 380*2nd Hand*Pano*PASM*Chrono*CarPlay,,10/2020,"Couleur extérieure: Gris, Nombre de portes: 4/5",280 kW (381 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,911 993 Carrera,,07/1995,"Couleur extérieure: Bleu, Nombre de portes: 2/3",200 kW (272 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Mercedes-Benz,G 63 AMG G -Modell Station G 63 AMG,,01/2013,"Couleur extérieure: Gris, Nombre de portes: 4/5",400 kW (544 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ferrari,360 Modena *Argento Nurburgring*,,09/2000,"Couleur extérieure: Gris, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,V300 D Avantgarde Extralong*8ppl*Elec.Doors,,10/2022,"Couleur extérieure: Noir, Nombre de portes: 4/5",176 kW (239 Ch DIN),"Monospace / Ludospace, Diesel, Boîte automatique",,
Porsche,Taycan 4 Cross Turismo,,10/2020,"Couleur extérieure: Noir, Nombre de portes: 4/5",350 kW (476 Ch DIN),"Break, Electrique, Boîte automatique",,
Porsche,997.2 CARRERA 4S CABRIOLET 3.8L 385 CV PDK,,03/2009,"Couleur extérieure: Bleu, Nombre de portes: 2/3",283 kW (385 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Mercedes-Benz,2025*AMG*PREMIUM*PLUS,,10 km,"Couleur extérieure: Noir, Nombre de portes: 4/5",150 kW (204 Ch DIN),"Berline, Essence, Boîte automatique",,
Ferrari,Mondial T 3.4 CABRIOLET QV -,,05/1990,Nombre de portes: 2/3,221 kW (300 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,964 Carrera 4,,12/1990,"Couleur extérieure: Gris, Nombre de portes: 2/3",183 kW (249 Ch DIN),"Coupé Sport, Essence",,
Mercedes-Benz,220 V -Klasse Vito Marco Polo 220/250/300 d RWD,,02/2022,"Couleur extérieure: Blanc, Nombre de portes: 4/5",140 kW (190 Ch DIN),"Monospace / Ludospace, Diesel, Boîte automatique",,
Corvette,Chevrolet Corvette C2 Cabriolet Sting Ray V8 327,,09/1966,Couleur extérieure: Rouge,221 kW (300 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,911 Carrera S *Manual Gearbox*,,06/2012,"Couleur extérieure: Argenté, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Audi,RS3 2.5 TFSI S tronic quattro Sportback,,12/2021,"Couleur extérieure: Rouge, Nombre de portes: 4/5",294 kW (400 Ch DIN),"Berline, Essence, Boîte automatique",,
Nissan,GT-R Basis,,01/2012,Nombre de portes: 2/3,357 kW (485 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,Carrera 4S PDK,,08/2010,Couleur extérieure: Noir,283 kW (385 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
BMW,M3 Baureihe M3 Lim. Competition *Propulsion*,,10/2021,"Couleur extérieure: Vert, Nombre de portes: 4/5",375 kW (510 Ch DIN),"Berline, Essence, Boîte automatique",,
ALPINA,D3 S,,,"Couleur extérieure: Blanc, Nombre de portes: 4/5",261 kW (355 Ch DIN),"Break, Diesel, Boîte automatique",,
Audi,RS3 Sportback*Design RS*Matrix*Pano*VMax*RS Exha,,05/2022,"Couleur extérieure: Gris, Nombre de portes: 4/5",294 kW (400 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Morgan,AR Plus 4,,06/2016,"Couleur extérieure: Argenté, Nombre de portes: 2/3",168 kW (228 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,911,,11/1988,"Couleur extérieure: Gris, Nombre de portes: 2/3",160 kW (218 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,360 Spider F1,,06/2004,"Couleur extérieure: Gris, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,Panamera 4 E-Hybrid *Sport Turismo*,,05/2020,"Couleur extérieure: Gris, Nombre de portes: 4/5",243 kW (330 Ch DIN),"Berline, Hybride (essence/électricité)",,
Porsche,991.1 Carrera S *Blue/Blue*,,03/2012,"Couleur extérieure: Bleu, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Bentley,Continental GTC 4.0 V8 4WD Automatik,,04/2013,"Couleur extérieure: Beige, Nombre de portes: 2/3",373 kW (507 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Audi,Q8 60 TFSI e Competition*B&O*ACC*Matrix*HUD,,03/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",250 kW (340 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Aston,Martin V8 Vantage*Sport Seats*Rear Camera,,06/2017,"Couleur extérieure: Noir, Nombre de portes: 2/3",313 kW (426 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Land,Rover Range Rover Sport V8 SVR(II) - Carbon - Meridian,,03/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",423 kW (575 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ford,MUSTANG V8 7.1L FASTBACK 1967 / RÉSTAURÉE,,01/1967,"Couleur extérieure: Noir, Nombre de portes: 2/3",,"Coupé Sport, Essence",,
Porsche,964 CARRERA 2 COUPÉ 3.6L 250 CV BOITE MÉCANIQUE,,01/1990,"Couleur extérieure: Bleu, Nombre de portes: 2/3",184 kW (250 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
BMW,M6 Coupé HAMANN V10 COLECTOR Service up to date,,09/2008,"Couleur extérieure: Blanc, Nombre de portes: 2/3",373 kW (507 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,997.1 Carrera 4S Cabrio,,01/2010,"Couleur extérieure: Noir, Nombre de portes: 2/3",283 kW (385 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Mercedes-Benz,220 SE Cabriolet,,11/1962,"Couleur extérieure: Or, Nombre de portes: 2/3",88 kW (120 Ch DIN),"Cabriolet / Roadster, Essence",,
Land,Rover Range Rover Sport Dynamic SE Hybrid P440e,,10/2022,"Couleur extérieure: Bleu, Nombre de portes: 4/5",265 kW (360 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,911 991.2 Carrera 4 *PDK gearbox*,,05/2016,Couleur extérieure: Noir,272 kW (370 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,996 TURBO CABRIOLET 3.6L 420 CV PTS JAUNE PASTEL,,05/2004,"Couleur extérieure: Jaune, Nombre de portes: 2/3",,"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,718 Boxster GTS*No-OPF*BOSE*PASM*PDLS+*CarPlay,,02/2018,"Couleur extérieure: Noir, Nombre de portes: 2/3",269 kW (366 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Mercedes-Benz,AMG GT S 4.0 V8 S DCT,,07/2015,"Couleur extérieure: Rouge, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,911 Carrera S,,05/2013,"Couleur extérieure: Blanc, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,991/911 Turbo/PDK/Memory/Panorama/BOSE/,,11/2013,"Couleur extérieure: Noir, Nombre de portes: 2/3",383 kW (521 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Land,Rover Range Rover Sport SVR 5.0 V8 575ch,,11/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",423 kW (575 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,911 E 2.0i 140 PS SPORTOMATIC - HISTORY - EU,,08/1969,"Couleur extérieure: Gris, Nombre de portes: 2/3",103 kW (140 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
ALPINA,B3,,,"Couleur extérieure: Noir, Nombre de portes: 4/5",364 kW (495 Ch DIN),"Break, Essence, Boîte automatique",,
Ferrari,California 4.3 V8 4-Sitzer,,05/2011,"Couleur extérieure: Noir, Nombre de portes: 2/3",338 kW (460 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Renault,Clio V6 (II) - 1 OF 1 - Full History - Cruise,,03/2004,"Couleur extérieure: Gris, Nombre de portes: 2/3",187 kW (254 Ch DIN),"Berline, Essence, Boîte manuelle",,
Bentley,Speed W12 *Pack Mulliner*,,02/2014,"Couleur extérieure: Gris, Nombre de portes: 2/3",467 kW (635 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bentley,Continental GT V8*Ventilated Seat*Access Comfort,,01/2017,"Couleur extérieure: Gris, Nombre de portes: 2/3",373 kW (507 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
BMW,M4 Competition*Carbon Seats*Laser*HUD*HK*360°,,11/2020,"Couleur extérieure: Gris, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence",,
Alpine,A110S SAN REMO *limited edition 1 of 200,,07/2023,"Couleur extérieure: Bleu, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
Porsche,Panamera Turbo S E-Hybrid Sport Turismo,,11/2018,"Couleur extérieure: Gris, Nombre de portes: 4/5",500 kW (680 Ch DIN),"Break, Hybride (essence/électricité), Boîte automatique",,
Porsche,997.2  Turbo PDK,,12/2009,"Couleur extérieure: Noir, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
BMW,COMPETITION TOURING,,07/2024,,375 kW (510 Ch DIN),"Break, Essence, Boîte automatique",,
Mercedes-Benz,E 3.4 AMG // CRYSTAL GREEN,,04/1992,Nombre de portes: 2/3,,Coupé Sport,,
ALPINA,B3,,,"Couleur extérieure: Noir, Nombre de portes: 4/5",364 kW (495 Ch DIN),"Break, Essence, Boîte automatique",,
Porsche,911 Turbo Coupe,,02/2007,"Couleur extérieure: Blanc, Nombre de portes: 2/3",353 kW (480 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,964 Carrera 2,,06/1991,"Couleur extérieure: Noir, Nombre de portes: 2/3",184 kW (250 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Audi,RS6 ABT R 1 / 25,,08/2014,"Couleur extérieure: Noir, Nombre de portes: 4/5",412 kW (560 Ch DIN),"Break, Essence, Boîte automatique",,
Porsche,997 Carrera GTS Cabriolet *PDK Gearbox*,,04/2011,"Couleur extérieure: Blanc, Nombre de portes: 2/3",300 kW (408 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
